product,category,subcategory,database,abbreviated_database,region,nutritional level,dish
Abalone,Seafood,Mollusk,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Aburaage,Salty Snacks,Bean Snacks,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,1,Snack
adobo,Soups and Stews,Stews,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
Æbleflæsk,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EUROPE,2,Main
Agedashi_tofu,Beans,Fried Beans,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,3,Main
Aligot,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,EUROPE,4,Main
almond jelly,Sweet Products,Other Sweet Products,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,1,Dessert
Almond_biscuit,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Aloo_gobi,Vegetables,Cooked Vegetables,ISIA Food-500,ISIA,CENTRAL ASIA,5,Main
Ambrosia_(fruit_salad),Sweet Products,Fruit Dessert,ISIA Food-500,ISIA,NORTH AMERICA,1,Dessert
Anago,Fish,Varied Fish,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
Andong_jjimdak,Mixed Food,Meat and Vegetables,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,3,Main
Ants_climbing_a_tree,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Anzac_biscuit,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
apple pie,Sweet Products,Pastries,UECFood-256,UECFOOD256,INTERNATIONAL,1,Dessert
Apple_cobbler,Sweet Products,Pastries,ISIA Food-500,ISIA,NORTH AMERICA,1,Dessert
Apple_crisp,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Apple_dumpling,Sweet Products,Pastries,ISIA Food-500,ISIA,NORTH AMERICA,1,Dessert
apple_pie,Sweet Products,Pastries,Food-101,Food101,INTERNATIONAL,1,Dessert
Apple_pie,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
apple_pie,Sweet Products,Pastries,VIPER-FoodNet,VIPER,INTERNATIONAL,1,Dessert
Apple_sauce,Sweet Products,Fruit Dessert,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Apple_strudel,Sweet Products,Pastries,ISIA Food-500,ISIA,EUROPE,1,Dessert
apples,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
Applesauce_cake,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
apricots,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
Arab_salad,Salad,Other Types of Salad,ISIA Food-500,ISIA,NORTH AFRICA AND WEST ASIA,3,Main
Arancini,Mixed Food,Fried Food,ISIA Food-500,ISIA,EUROPE,2,Main
Arròs_negre,Mixed Food,Mixed Rice,ISIA Food-500,ISIA,EUROPE,6,Main
artichoke_bottoms_in_olive_oil,Vegetables,Cooked Vegetables,MAFood-121,MAFood121,NORTH AFRICA AND WEST ASIA,5,Main
Asam_pedas,Mixed Food,Mixed Fish,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
Avocado_fries,Mixed Food,Mixed Food,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
Avocado_key_lime_pie,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
avocados,Fruits,Fruits,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Dessert
ayam bakar,Meat,White Meat,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
ayam goreng,Meat,White Meat,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
Ayam_bakar,Meat,White Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
Ayam_betutu,Meat,White Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
Ayam_goreng,Meat,White Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
babi guling,Mixed Food,Mixed Meat,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
Babi_panggang,Meat,Varied Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
baby_back_ribs,Meat,Red Meat,Food-101,Food101,INTERNATIONAL,2,Main
Bacon_and_eggs,Mixed Food,Mixed Eggs,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Bacon_egg_and_cheese_sandwich,Sandwich and Similar Products,Sandwich,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
Bacon_explosion,Meat,Red Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
Bacon_sandwich,Sandwich and Similar Products,Sandwich,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
